"スターティングメンバー岡崎が死ぬほど走るのかな#daihyo https://t.co/ClZ78j37NF","22:05:20"
"RT @jfa_samuraiblue: 【キックオフ！】国際親善試合#SAMURAIBLUE 0-0 パラグアイ代表🇵🇾📺日本テレビ系で全国生中継大会情報▷https://t.co/zhOvP9vUpJ#jfa #daihyo #夢を力に2018","22:05:21"
"RT @webstyleking: ⚽️国際親善試合⚽️🇯🇵日本 vs パラグアイ🇵🇾#日本代表 スタメン発表‼GK12 東口順昭DF2 植田直通3 昌子源6 遠藤航21 酒井高徳MF7 柴崎岳10 香川真司14 乾貴士16 山口蛍(Cap)…","22:05:21"
"【速報】国際親善試合《試合開始》 🇯🇵日本 0-0 パラグアイ🇵🇾 テキスト中継中⇒ https://t.co/3nDZkThBtm#パラグアイ代表 #daihyo #日本代表 #超WS https://t.co/P1K62fWURd","22:05:22"
"RT @jfa_samuraiblue: 【キックオフ！】国際親善試合#SAMURAIBLUE 0-0 パラグアイ代表🇵🇾📺日本テレビ系で全国生中継大会情報▷https://t.co/zhOvP9vUpJ#jfa #daihyo #夢を力に2018","22:05:22"
"RT @SoccerKingJP: 🇯🇵#日本代表 スタメン発表！🇵🇾▼GK12 東口順昭▼DF2 植田直通3 昌子源6 遠藤航21 酒井高徳▼MF7 柴崎岳10 香川真司14 乾貴士16 山口蛍（C）▼FW9 岡崎慎司13 武藤嘉紀#サッカー…","22:05:22"
"RT @SoccerKingJP: 🇯🇵#日本代表 スタメン発表！🇵🇾▼GK12 東口順昭▼DF2 植田直通3 昌子源6 遠藤航21 酒井高徳▼MF7 柴崎岳10 香川真司14 乾貴士16 山口蛍（C）▼FW9 岡崎慎司13 武藤嘉紀#サッカー…","22:05:22"
"始まったぞー#daihyo","22:05:23"
"(試合開始)🇯🇵 0-0 🇵🇾しばらくじっくり観ます。#jfa #daihyo","22:05:23"
"RT @jfa_samuraiblue: 【キックオフ！】国際親善試合#SAMURAIBLUE 0-0 パラグアイ代表🇵🇾📺日本テレビ系で全国生中継大会情報▷https://t.co/zhOvP9vUpJ#jfa #daihyo #夢を力に2018","22:05:23"
"がんばれ👍 #daihyo","22:05:24"
"RT @jfa_samuraiblue: 【キックオフ！】国際親善試合#SAMURAIBLUE 0-0 パラグアイ代表🇵🇾📺日本テレビ系で全国生中継大会情報▷https://t.co/zhOvP9vUpJ#jfa #daihyo #夢を力に2018","22:05:24"
"パラグアイは本大会でるの？ #daihyo","22:05:24"
"ほんとにスタメンほぼ総とっかえなんか。 #daihyo #ntv","22:05:25"
"RT @jfa_samuraiblue: 【キックオフ！】国際親善試合#SAMURAIBLUE 0-0 パラグアイ代表🇵🇾📺日本テレビ系で全国生中継大会情報▷https://t.co/zhOvP9vUpJ#jfa #daihyo #夢を力に2018","22:05:25"
"久しぶりに生で見るな #daihyo","22:05:25"
"日テレは 国歌 &lt;&lt;&lt;&lt;&lt;&lt; CM なのね。 #daihyo","22:05:25"
