ｗｗｗｗｗｗｗｗｗｗ,2018-06-12 22:06:12,0
宇宙企画,2018-06-12 22:06:12,-0.4607755
キャプテンが一番下手,2018-06-12 22:06:16,-0.014691500000000024
ゴリラｗ,2018-06-12 22:06:16,-0.267103
キャンチョメ,2018-06-12 22:06:16,0
ととのえろ,2018-06-12 22:06:16,0
金髪ｗ,2018-06-12 22:06:16,-0.0760197
長友ｗｗ,2018-06-12 22:06:17,0
誰だあの金髪,2018-06-12 22:06:17,-0.0760197
なにこれ？,2018-06-12 22:06:17,0
長友w,2018-06-12 22:06:17,0
録画か,2018-06-12 22:06:17,-0.358182
野球やれよ,2018-06-12 22:06:21,-0.859582
はやさはいいけど結局最後か,2018-06-12 22:06:21,-0.685971
金髪がいた,2018-06-12 22:06:21,-0.0760197
こっちの方がスタメンだな,2018-06-12 22:06:21,-0.473732
下手にキャッチされたらカウンターやからな,2018-06-12 22:06:21,-0.48587400000000003
この前より良い,2018-06-12 22:06:21,0.999995
長友wwwwwwww,2018-06-12 22:06:22,0
よくねーよ　枠とばせや,2018-06-12 22:06:22,-0.02515766666666669
なんで枠いかないの？,2018-06-12 22:06:22,-0.8594185000000001
Jリーグでも通用してない定期,2018-06-12 22:06:22,-0.5802430000000001
乾と中島同じタイプ,2018-06-12 22:06:26,-0.20827474999999998
おーにっぽーの幼女バージョン,2018-06-12 22:06:26,-0.45667166666666675
サイドバック遠藤か,2018-06-12 22:06:27,0
東口か,2018-06-12 22:06:27,0
カウンターになるよりまし,2018-06-12 22:06:27,-0.402076
これいいな,2018-06-12 22:06:27,0
遠藤,2018-06-12 22:06:27,0
猿がいた,2018-06-12 22:06:27,-0.522162
まんさん？！,2018-06-12 22:06:27,-0.598002
やっぱ本田がおるから攻めがおそなるんやな,2018-06-12 22:06:27,-0.26355700000000004
キャンチョメ長友,2018-06-12 22:06:30,0
メインを下げた言い訳試合,2018-06-12 22:06:30,-0.759061
本田というブレーキがいないし,2018-06-12 22:06:31,-0.5776416666666667
右遠藤かよ,2018-06-12 22:06:31,-0.525752
金髪がいねえｗ,2018-06-12 22:06:31,-0.53795085
枠に蹴ったらダメなルールか？,2018-06-12 22:06:32,-0.7157786666666667
川口東口,2018-06-12 22:06:32,-0.43044
DF鹿島やん,2018-06-12 22:06:32,0
香川シンプルいけー,2018-06-12 22:06:32,0.969356
こっちのがよさそう,2018-06-12 22:06:32,-0.93584
キャンチョメｗｗｗｗｗくっそふいたｗｗｗｗｗｗｗｗｗｗｗ,2018-06-12 22:06:36,0
DFｗｗｗｗｗｗ,2018-06-12 22:06:36,0
キャンチョメどこ,2018-06-12 22:06:36,0
井手口ｗｗｗｗｗｗｗ,2018-06-12 22:06:36,0
２軍の方が強い,2018-06-12 22:06:37,-0.490104
すでに前よりいい,2018-06-12 22:06:37,0
こっちの方がありか,2018-06-12 22:06:37,-0.473732
ガラガラｗｗｗ,2018-06-12 22:06:37,0
香川以外がこれでいい,2018-06-12 22:06:37,-0.585254
金髪似合わないな,2018-06-12 22:06:37,-0.16680323333333336
結局４なんやね,2018-06-12 22:06:42,-0.3710865
